,0
0,bancoint
1,cashback
2,loj
3,thiagoast
4,bancoint
5,nubank
6,cort
7,cas
8,então
9,filho
10,put
11,ligg
12,patrocin
13,gent
14,jathleticano
15,thiagoast
16,bancoint
17,nubank
18,par
19,bacon
20,el
21,patrocinam
22,bale
23,bancoint
24,of
25,voltamo
26,mundo
27,esport
28,marc
29,ess
30,momento
31,iniciamo
32,parcer
33,verdadeiro
34,furacão
35,jasonllawr
36,bancoint
37,poder
38,liber
39,gentilez
40,portallovato
41,bancoint
42,amoooo
43,thiagoast
44,infel
45,fechando
46,minh
47,cont
48,bancoint
49,motivo
50,sere
51,con
52,patrocínio
53,obrigado
54,tudo
55,thiagoast
56,bancoint
57,nubank
58,agor
59,abrindo
60,cont
61,int
62,valeu
63,int
64,is
65,lbuquerqu
66,bancoint
67,ess
68,bancoint
69,está
70,for
71,assim
72,abro
73,está
74,enfrentando
75,problema
76,volt
77,bancoint
78,entre
79,dua
80,vez
81,vez
82,el
83,acharam
84,feito
85,outro
86,banco
87,par
88,int
89,tod
90,transação
91,feit
92,int
93,par
94,int
95,então
96,puderam
97,ajud
98,athleticopr
99,bancoint
100,alvxaro
101,bancoint
102,mastercardbr
103,preciso
104,ness
105,alvxaro
106,compre
107,junto
108,namorado
109,ingresso
110,rock
111,namorado
112,terminou
113,comigo
114,perd
115,emprego
116,preciso
117,nosso
118,loiro
119,junto
120,influ
121,favorito
122,bancoint
123,dia
124,úte
125,nad
126,dinheiro
127,cont
128,nenê
129,https
130,efxt
131,portallovato
132,bancoint
133,fazendo
134,publ
135,chiqu
136,freddo_elyan
137,athleticopr
138,bancoint
139,pod
140,coloc
141,plac
142,jogo
143,também
144,talvez
145,coloc
146,alusão
147,dribl
148,cirino
149,ach
150,moraesvico
151,bancoint
152,vez
153,esqueço
154,tenho
155,cont
156,int
157,yasminmotax
158,bancoint
159,ess
160,cartão
161,nunc
162,mai
163,olh
164,gostav
165,muito
166,joao_paulo
167,bancoint
168,isso
169,cartão
170,bancoint
171,consegu
172,compr
173,ingresso
174,namorado
175,fic
176,próxima
177,yasminmotax
178,bancoint
179,aind
180,ped
181,moç
182,refaz
183,acordo
184,ter
185,condiçõ
186,pag
187,diss
188,ter
189,pag
190,nova
191,refaz
192,acordo
193,yasminmotax
194,bancoint
195,simples
196,pegaram
197,dinheiro
198,fizeram
199,acordo
200,el
201,ferre
202,joao_paulo
203,bancoint
204,rolou
205,nunc
206,mai
207,deixo
208,dinheiro
209,bancoint
210,depo
211,hoj
212,mai
213,ess
214,cartão
215,is
216,lbuquerqu
217,bancoint
218,como
219,ess
220,negócio
221,kkkk
222,heloiry
223,bancoint
224,poder
225,liber
226,gentilez
227,bancoint
228,lixo
229,nojento
230,horrível
231,terrível
232,lazarento
233,morfético
234,ruim
235,feio
236,abominável
237,detestável
238,abominável
239,podr
240,pobr
241,asqueroso
242,maligno
243,deplorável
244,lamentável
245,desgraçado
246,péssimo
247,inútil
248,infértil
249,medíocr
250,fraco
251,incompet
252,comido
253,lixo
254,lixo
255,lixo
256,portallovato
257,bancoint
258,bancoint
259,ótimo
260,tim
261,sério
262,tim
263,comprometido
264,categoria
265,bas
266,agrad
267,norm
268,afetado
269,pel
270,competênc
271,athleticopr
272,thiagoast
273,bancoint
274,nubank
275,seguir
276,zoeir
277,mud
278,estado
279,tbém
280,governo
281,pagou
282,aren
283,the_buckminster
284,bancoint
285,kkkkkk
286,furacao
287,unico
288,cabeç
289,purungo
290,thiagoast
291,bancoint
292,nubank
293,variedad
294,mem
295,ess
296,verda
297,dispar
298,brincadeir
299,bancoint
300,of
301,voltamo
302,mundo
303,esport
304,marc
305,ess
306,momento
307,iniciamo
308,parcer
309,verdadeiro
310,furacão
311,srvitiinho
312,bancoint
313,falt
314,tchau
315,tchaaauuuu
316,aviso
317,nubank
318,bank
319,bancoint
320,juro
321,alguém
322,clonou
323,cartão
324,possível
325,minh
326,fatur
327,est
328,ness
329,val
330,tenho
331,rock
332,seman
333,gent
334,faz
335,kkkkkkkkkkkkkkk
336,bancoint
337,andsouz
338,thiagoast
339,bancoint
340,nubank
341,par
342,assistir
343,el
344,transmitem
345,libertad
346,the_buckminster
347,bancoint
348,chamo
349,mar
350,estou
351,quas
352,deixando
353,us
354,bank
355,par
356,us
357,som
358,bancoint
359,del
360,muito
361,melh
362,bancoint
363,fiz
364,cartao
365,personalizado
366,abro
367,cont
368,bancoint
369,falaram
370,opçõ
371,xpinvestimento
372,estou
373,pesquisando
374,aberto
375,proposta
376,athleticopr
377,athletico
378,bancoint
379,sup
380,oferec
381,produto
382,serviço
383,financeiro
384,financeiro
385,mai
386,milhõ
387,bancoint
388,posso
389,pass
390,código
391,localização
392,vier
393,ond
394,cartão
395,encontr
396,bancoint
397,pod
398,ajud
399,bancoint
400,quem
401,lov
402,carteirinh
403,sab
404,https
405,ujucq
406,portallovato
407,atenção
408,lov
409,acompanhem
410,hoj
411,cobertur
412,primeiro
413,holy
414,fvck
415,tour
416,brasil
417,nosso
418,perfil
419,perfil
420,bancoint
421,ajud
422,pelo
423,am
424,deu
425,lelo_rodri
426,bancoint
427,nubank
428,pagare
429,minh
430,heinek
431,cartão
432,roxo
433,nubank
434,jathleticano
435,thiagoast
436,bancoint
437,nubank
438,burro
439,bancoint
440,fintech
441,merd
442,tim
443,merd
444,kkkkkkkk
445,ant
446,cadela
447,espumem
448,perguntem
449,pro
450,paulino
451,portallovato
452,bancoint
453,estou
454,sjajabah
455,johnisl
456,thiagoast
457,bancoint
458,nubank
459,coro
460,dev
461,rubro
462,negr
463,tambem
464,ador
465,grandao
466,bancoint
467,cartão
468,furacão
469,também
470,bancoint
471,mateusbarchik
472,kovalessk
473,athleticopr
474,bancoint
475,lant
476,cirino
477,srvitiinho
478,bancoint
479,deu
480,precisav
481,par
482,abrir
483,minh
484,cont
485,int
486,vamooooo
487,rycaaaa
488,valeu
489,bancoint
490,bancoint
491,https
492,urngh
493,safirebicalho
494,ceciliapbp
495,interinvest
496,bancoint
497,poder
498,liber
499,gentilez
500,portallovato
501,atenção
502,lov
503,acompanhem
504,hoj
505,cobertur
506,primeiro
507,holy
508,fvck
509,tour
510,brasil
511,nosso
512,perfil
513,perfil
514,portallovato
515,bancoint
516,vendo
517,mei
518,entrad
519,pist
520,norm
521,thiagoast
522,bancoint
523,nubank
524,car
525,nunc
526,mai
527,tom
528,amstel
529,poi
530,patrocin
531,libertad
532,portallovato
533,atenção
534,lov
535,acompanhem
536,hoj
537,cobertur
538,primeiro
539,holy
540,fvck
541,tour
542,brasil
543,nosso
544,perfil
545,perfil
546,portallovato
547,atenção
548,lov
549,acompanhem
550,hoj
551,cobertur
552,primeiro
553,holy
554,fvck
555,tour
556,brasil
557,nosso
558,perfil
559,perfil
560,srvitiinho
561,bancoint
562,abrindo
563,outr
564,então
565,pel
566,sombr
567,falt
568,nenhum
569,portallovato
570,atenção
571,lov
572,acompanhem
573,hoj
574,cobertur
575,primeiro
576,holy
577,fvck
578,tour
579,brasil
580,nosso
581,perfil
582,perfil
583,portallovato
584,atenção
585,lov
586,acompanhem
587,hoj
588,cobertur
589,primeiro
590,holy
591,fvck
592,tour
593,brasil
594,nosso
595,perfil
596,perfil
597,m_a_r_c_e_l_o_f
598,bancoint
599,poder
600,liber
601,gentilez
602,portallovato
603,atenção
604,lov
605,acompanhem
606,hoj
607,cobertur
608,primeiro
609,holy
610,fvck
611,tour
612,brasil
613,nosso
614,perfil
615,perfil
616,portallovato
617,bancoint
618,amooo
619,portallovato
620,atenção
621,lov
622,acompanhem
623,hoj
624,cobertur
625,primeiro
626,holy
627,fvck
628,tour
629,brasil
630,nosso
631,perfil
632,perfil
633,portallovato
634,atenção
635,lov
636,acompanhem
637,hoj
638,cobertur
639,primeiro
640,holy
641,fvck
642,tour
643,brasil
644,nosso
645,perfil
646,perfil
647,portallovato
648,bancoint
649,banco
650,int
651,fazendo
652,tudo
653,ess
654,banco
655,deu
656,portallovato
657,atenção
658,lov
659,acompanhem
660,hoj
661,cobertur
662,primeiro
663,holy
664,fvck
665,tour
666,brasil
667,nosso
668,perfil
669,perfil
670,portallovato
671,atenção
672,lov
673,acompanhem
674,hoj
675,cobertur
676,primeiro
677,holy
678,fvck
679,tour
680,brasil
681,nosso
682,perfil
683,perfil
684,portallovato
685,atenção
686,lov
687,acompanhem
688,hoj
689,cobertur
690,primeiro
691,holy
692,fvck
693,tour
694,brasil
695,nosso
696,perfil
697,perfil
698,bancoint
699,of
700,voltamo
701,mundo
702,esport
703,marc
704,ess
705,momento
706,iniciamo
707,parcer
708,verdadeiro
709,furacão
710,portallovato
711,atenção
712,lov
713,acompanhem
714,hoj
715,cobertur
716,primeiro
717,holy
718,fvck
719,tour
720,brasil
721,nosso
722,perfil
723,perfil
724,portallovato
725,atenção
726,lov
727,acompanhem
728,hoj
729,cobertur
730,primeiro
731,holy
732,fvck
733,tour
734,brasil
735,nosso
736,perfil
737,perfil
738,portallovato
739,atenção
740,lov
741,acompanhem
742,hoj
743,cobertur
744,primeiro
745,holy
746,fvck
747,tour
748,brasil
749,nosso
750,perfil
751,perfil
752,portallovato
753,atenção
754,lov
755,acompanhem
756,hoj
757,cobertur
758,primeiro
759,holy
760,fvck
761,tour
762,brasil
763,nosso
764,perfil
765,perfil
766,portallovato
767,atenção
768,lov
769,acompanhem
770,hoj
771,cobertur
772,primeiro
773,holy
774,fvck
775,tour
776,brasil
777,nosso
778,perfil
779,perfil
780,portallovato
781,atenção
782,lov
783,acompanhem
784,hoj
785,cobertur
786,primeiro
787,holy
788,fvck
789,tour
790,brasil
791,nosso
792,perfil
793,perfil
794,portallovato
795,atenção
796,lov
797,acompanhem
798,hoj
799,cobertur
800,primeiro
801,holy
802,fvck
803,tour
804,brasil
805,nosso
806,perfil
807,perfil
808,atenção
809,lov
810,acompanhem
811,hoj
812,cobertur
813,primeiro
814,holy
815,fvck
816,tour
817,brasil
818,nosso
819,perfil
820,perfil
821,int
822,bancoint
823,esperamo
824,você
825,publ
826,srvitiinho
827,bancoint
828,sentir
829,tant
830,falt
831,feippe_pereira
832,athleticopr
833,bancoint
834,petragl
835,quer
836,camis
837,nov
838,bancoint
839,saíram
840,paulo
841,foram
842,par
843,tim
844,minúsculo
845,termo
846,torcid
847,the_buckminster
848,bancoint
849,parafraseando
850,petragl
851,club
852,atletico
853,existem
854,milh
855,americ
856,bancoint
857,of
858,voltamo
859,mundo
860,esport
861,marc
862,ess
863,momento
864,iniciamo
865,parcer
866,verdadeiro
867,furacão
868,athleticopr
869,mateusbarchik
870,bancoint
871,inédito
872,galaxyth
873,lucas_o_kiwi
874,athleticopr
875,bancoint
876,kkkkkkkkk
877,bancoint
878,athleticopr
879,estreiam
880,parcer
881,inédit
882,lev
883,tecnolog
884,nova
885,experiência
886,par
887,torc
888,club
889,estamp
890,logomarc
891,int
892,seu
893,uniform
894,próximos
895,jogo
896,conmebol
897,libertad
898,confir
899,https
900,alguém
901,carteir
902,remunerad
903,bancoint
904,como
905,funcion
906,bancoint
907,vamo
908,cim
909,junto
910,jathleticano
911,thiagoast
912,bancoint
913,nubank
914,ligg
915,trabalh
916,internet
917,quem
918,fornec
919,copel
920,nad
921,cois
922,outr
923,ligg
924,patrocin
925,cor
926,bancoint
927,agor
928,assim
929,https
930,gqmnsqp
931,bancoint
932,ligue
933,mesmo
934,atend
935,tinh
936,conhecimento
937,promoção
938,resolv
939,ontem
940,atravé
941,reclam
942,aqu
943,atendimento
944,excel
945,bancoint
946,is
947,lbuquerqu
948,precis
949,melhor
950,qualidad
951,cartõ
952,arranham
953,muito
954,facil
955,thiagoast
956,bancoint
957,nubank
958,poxinh
959,athleticopr
960,bancoint
961,dúvida
962,sincer
963,torc
964,athletico
965,algo
966,proíb
967,novo
968,design
969,camis
970,estatuto
971,tenho
972,impressão
973,usam
974,mesm
975,camis
976,desd
